id,filename
350,Euro Demo 31 (Europe)
351,"Gunship (Europe) (En,Fr,De,Es,It)"
352,Wipeout (Europe)
354,Euro Demo 34 (Europe)
355,"Wip3out (Europe) (En,Fr,De,Es,It)"
356,Syphon Filter 2 (USA) (Disc 1)
357,Syphon Filter 2 (USA) (Disc 2)
361,Demo One (Version 4) (Europe)
362,"Wild 9 (Europe) (En,Fr,De,Es,It)"
367,"Need for Speed II (Europe) (En,Fr,De,Es,It,Sv)"
368,Lunar 2 - Eternal Blue Complete (USA) (The Making of)
369,Spider-Man 2 - Enter - Electro (Germany)
370,Shadow Man - Rette deine Seele (Germany)
371,Dragon Ball Z - Ultimate Battle 22 (Europe)
372,Tom Clancy's Rainbow Six (Germany)
373,Pajama Sam - You Are What You Eat from Your Head to Your Feet (Europe)
376,Tomb Raider IV - The Last Revelation (Germany)
378,Colony Wars - Red Sun (USA)
379,Tekken 2 (Europe)
380,"Tomb Raider - The Last Revelation (Europe, Australia)"
383,Stuart Little 2 (Germany)
386,JoJo's Bizarre Adventure (USA)
387,Colony Wars (USA) (Disc 1)
388,Colony Wars (USA) (Disc 2)
389,Euro Demo 27 (Europe)
393,Legacy of Kain - Soul Reaver (Germany)
396,"Demo One (Version 7) (Europe) (En,Fr,De,Es,It)"
412,"Firebugs (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi)"
415,Raiden DX (Japan) (Major Wave)
417,R-Type Delta (Japan)
423,"Metal Gear Solid - Integral (Japan, Asia) (En,Ja) (Disc 1)"
424,"Metal Gear Solid - Integral (Japan, Asia) (En,Ja) (Disc 2)"
426,"Metal Gear Solid - Integral (Japan, Asia) (Disc 3) (VR-Disc)"
435,Gunship (USA)
439,"PaRappa the Rapper - The Hip Hop Hero (Europe) (En,Fr,De,Es,It)"
441,Jumping Flash! 2 (Europe)
443,Driver 2 - Back on the Streets (Europe) (Disc 1)
444,Driver 2 - Back on the Streets (Europe) (Disc 2)
445,"Crow, The - City of Angels (USA)"
446,NHL FaceOff 99 (Europe)
447,Doom (Europe)
449,Tekken 3 (Europe) (Alt)
455,R-Type Delta (USA)
459,Dino Crisis (USA)
460,Dino Crisis 2 (USA)
461,Namco Museum Vol. 1 (Europe)
462,"Carnage Heart (Europe) (En,Fr,De,Es,It)"
463,"Spec Ops - Covert Assault (Europe) (En,Fr,De,Es,It)"
464,Resident Evil 2 (Germany) (Disc 2)
466,"Destruction Derby Raw (Europe) (En,Fr,De,Es,It)"
469,Mortal Kombat Trilogy (USA) (Rev 1)
473,Dino Crisis (USA) (Rev 1)
474,WCW Mayhem (Europe)
475,Mortal Kombat Trilogy (Europe)
477,Street Fighter Collection 2 (Europe)
478,Twisted Metal (Europe)
480,"Fighting Force (Europe) (En,Fr,De)"
482,Critical Depth (Europe)
483,"Tekken 3 (Europe, Australia)"
485,"Alone in the Dark - Jack Is Back (Europe) (En,Fr,De,Es,It)"
491,Williams Arcade's Greatest Hits (Europe)
492,"Spyro - Year of the Dragon (Europe) (En,Fr,De,Es,It)"
493,Vigilante 8 - 2nd Offense (Europe)
494,"Mortal Kombat - Special Forces (Europe) (En,Fr,De)"
495,Xena - Warrior Princess (Europe)
496,Resident Evil 3 - Nemesis (Europe)
497,WWF In Your House (Europe)
498,ESPN Extreme Games (Europe)
499,Warhawk - The Red Mercury Missions (Europe)
500,Racing Special (Europe)
501,OPSM Best Racing Game Ever (Europe)
504,2Xtreme (Europe)
505,"Croc 2 (Europe) (En,Fr,De,Es,It,Nl,Sv)"
506,"Destruction Derby 2 (USA, Canada)"
507,Resident Evil (Europe)
508,Street Fighter Alpha 3 (USA)
509,Resident Evil 2 (Germany) (Disc 1)
512,Crash Bash (USA)
513,Cool Boarders 2001 (USA)
514,Actua Tennis (Europe)
515,Tomb Raider (USA) (Rev 3)
516,Frogger (USA)
522,PlayStation Demo Disc - Shock Your System! (USA) (SCUS-94496)
523,Grand Theft Auto (USA)
524,Grand Theft Auto 2 (USA)
525,Squaresoft on PlayStation 1998 Collector's CD Vol. 1 (USA)
526,"Demo One (Version 2) (Europe, Australia)"
527,Grand Theft Auto - Mission Pack 1 - London 1969 (USA)
529,"PS One Demo Disc 02 (Europe) (En,Fr,De,Es,It)"
530,"Magical World of Disney on PlayStation, The (Europe)"
531,Demo One (Version 1) (Europe)
532,Exclusive PlayStation Racing Demos (Europe)
533,Tomb Raider II - Starring Lara Croft (Italy)
534,Disney-Pixar Toy Story 2 - Buzz Lightyear to the Rescue! (USA)
536,Die Hard Trilogy 2 - Viva Las Vegas (Europe)
537,Ready 2 Rumble Boxing - Round 2 (USA)
538,Star Wars - Demolition (USA)
539,Pong - The Next Level (USA)
541,"PSone - Wherever, Whenever, Forever. (USA) (EDC)"
546,Alundra (Europe)
547,"Army Men 3D (Europe) (En,Fr,De)"
548,Vagrant Story (Germany)
549,Breath of Fire IV (Europe)
550,Bomberman (Europe)
551,"Beyblade (Europe) (En,Fr,De,Es,It)"
552,"Bomberman Fantasy Race (Europe) (En,Fr,De,Es)"
553,Vampire Hunter D (USA)
554,"Ballistic (Europe) (En,Fr,De)"
557,"Darklight Conflict (Europe) (En,Fr,De,Es,It,Sv)"
558,"Colin McRae Rally (Europe) (En,Fr,De,Es) (Rev 1)"
560,V-Tennis (USA)
562,Dracula - The Resurrection (Europe) (Disc 1)
563,Dracula - The Resurrection (Europe) (Disc 2)
564,"FIFA 2000 (Europe) (En,De,Es,Nl,Sv) (Rev 1)"
565,"Excalibur 2555 A.D. (Europe) (En,Fr,De,Es) (Rev 1)"
566,Perfect Weapon (Germany)
567,"Syphon Filter (Europe, Australia)"
568,"Fear Effect 2 - Retro Helix (Europe) (En,Fr,De) (Disc 1)"
569,"Fear Effect 2 - Retro Helix (Europe) (En,Fr,De) (Disc 2)"
570,"Fear Effect 2 - Retro Helix (Europe) (En,Fr,De) (Disc 3)"
571,"Fear Effect 2 - Retro Helix (Europe) (En,Fr,De) (Disc 4)"
573,"F1 World Grand Prix - 1999 Season (Europe) (En,Fr,De,Es,It)"
574,Euro Demo 62 (Europe)
575,Mortal Kombat 3 (Europe)
576,Spyro the Dragon (USA)
577,Riven - The Sequel to Myst (Europe) (Disc 1)
578,Riven - The Sequel to Myst (Europe) (Disc 2)
579,Riven - The Sequel to Myst (Europe) (Disc 3)
580,Riven - The Sequel to Myst (Europe) (Disc 4)
581,Riven - The Sequel to Myst (Europe) (Disc 5)
582,"Ace Combat 3 - Electrosphere (Japan, Asia) (Disc 1) (Rev 1)"
583,40 Winks (USA)
584,"Ace Combat 3 - Electrosphere (Japan, Asia) (Disc 2) (Rev 1)"
585,Command & Conquer (France) (Disc 1) (GDI)
586,Command & Conquer (France) (Disc 2) (NOD)
587,Echo Night (USA)
588,"Tekken 3 (Japan, Asia)"
590,Dragon Seeds - Saishuu Shinka Keitai (Japan)
591,Ehrgeiz - God Bless the Ring (USA)
592,MediEvil (Europe)
593,"MediEvil 2 (Europe) (En,Fr,De)"
594,Spider-Man 2 - Enter - Electro (USA) (Rev 1)
595,Star Wars - Dark Forces (Europe)
596,"ISS Pro Evolution (Europe) (En,Fr,De)"
597,Metal Gear Solid (Europe) (Disc 1)
598,Metal Gear Solid (Europe) (Disc 2)
599,"Michael Owen's World League Soccer '99 (Europe) (En,Fr,It)"
600,FIFA 99 - Europe League Soccer (Japan)
601,Evil Zone (USA)
602,Beyond the Beyond - Haruka naru Kanaan e (Japan)
603,Cowboy Bebop (Japan)
604,"Street Skater (Europe) (En,Fr,De)"
605,Dynasty Warriors (Europe)
606,"No Fear Downhill Mountain Biking (Europe) (En,Fr,De,Es,It,Sv)"
607,Total NBA 98 (Europe)
608,OverBlood (Japan)
610,Cool Boarders 3 (Japan)
612,Lake Masters (Japan)
613,Fire Pro Wrestling G (Japan) (Spike Library)
614,"Delta Force Urban Warfare (Europe) (En,Fr,De,Es,It)"
615,"TOCA World Touring Cars (Europe) (En,Fr,De)"
616,"Nightmare Creatures II (Europe) (En,Fr,De)"
617,"Italian Job, The (Europe)"
618,"Urban Chaos (Europe) (En,Es,It)"
619,Registration Demo 01 (Europe)
621,Resident Evil 2 (Europe) (Disc 1)
622,"Need for Speed - Porsche 2000 (Europe) (En,De,Sv)"
629,Tetsuya Komuro - Gaball Screen (Japan)
630,Disney's Aladdin in Nasira's Revenge (USA)
631,Creatures (USA)
632,Digimon World 3 (USA)
633,007 Racing (USA)
634,Blade (USA)
636,Digimon - Digital Card Battle (USA)
648,Euro Demo 07 (Europe)
649,Euro Demo 22 (Europe)
650,Oddworld - Abe's Oddysee (Europe) (Demo)
653,Dragon Warrior VII (USA) (Disc 1)
654,Dragon Warrior VII (USA) (Disc 2)
655,Valkyrie Profile (USA) (Disc 1)
656,Valkyrie Profile (USA) (Disc 2)
663,radicalgames@psygnosis v.2 (Europe)
665,Beyond the Beyond (USA)
666,"Gran Turismo (Japan, Asia)"
667,"Rise 2 - Resurrection (Europe) (En,Fr,De,Es,It)"
671,Tekken (Japan)
672,Arc the Lad Collection - Arc the Lad (USA)
673,Arc the Lad Collection - Arc the Lad II (USA)
674,Arc the Lad Collection - Arc the Lad III (USA) (Disc 1)
675,Arc the Lad Collection - Arc the Lad III (USA) (Disc 2)
676,Arc the Lad Collection - Arc Arena - Monster Tournament (USA)
677,Arc the Lad Collection - The Making of Arc the Lad (USA)
678,Shaman King - Spirit of Shamans (Japan)
680,Box Champions 2000 (Germany)
683,Motorhead (Europe)
684,"Porsche Challenge (Europe) (En,Fr,De,Es,It)"
690,Metal Gear Solid (Europe) (Demo 1)
691,"Hardcore 4x4 (Europe) (En,Fr,De)"
692,"Chicken Run (Europe) (Fr,De,Es,It)"
695,Mortal Kombat Mythologies - Sub-Zero (Europe)
696,"Duke Nukem - Land of the Babes (Europe) (En,Fr,De,Es,It)"
700,Oddworld - Abe's Exoddus (Europe) (Disc 1)
701,Oddworld - Abe's Exoddus (Europe) (Disc 2)
702,Oddworld - Abe's Oddysee (Europe)
703,Hogs of War (Europe)
704,OverBlood (Europe)
705,"Olympic Soccer (Europe) (En,Fr,De,Es,It)"
709,"Aqua GT (Europe) (En,Fr,De,Es,It,Nl)"
710,Dino Crisis (Europe)
712,"FIFA Soccer 96 (USA) (En,Fr,De,Es,It,Sv)"
727,Suikoden II (Germany)
728,Legacy of Kain - Soul Reaver (USA)
729,Suikoden (Europe)
730,Final Fantasy VII (Germany) (Disc 1)
731,Final Fantasy VII (Germany) (Disc 2)
732,Final Fantasy VII (Germany) (Disc 3)
733,Final Fantasy VIII (Germany) (Disc 1)
734,Final Fantasy VIII (Germany) (Disc 2)
735,Final Fantasy VIII (Germany) (Disc 3)
736,Final Fantasy VIII (Germany) (Disc 4)
737,Final Fantasy IX (Germany) (Disc 1)
738,Final Fantasy IX (Germany) (Disc 2)
739,Final Fantasy IX (Germany) (Disc 3)
740,Final Fantasy IX (Germany) (Disc 4)
742,Knockout Kings (USA)
744,NBA Live 97 (USA)
745,PGA Tour 97 (USA)
746,PGA Tour 98 (USA)
747,Triple Play 97 (USA)
748,"FIFA Football 2002 (Germany) (En,De,Es,Nl,Sv)"
749,Parasite Eve (Japan) (Disc 1)
750,Parasite Eve (Japan) (Disc 2)
751,Nagano Winter Olympics '98 (Europe)
757,MechWarrior 2 - 31st Century Combat - Arcade Combat Edition (Europe)
758,Ridge Racer Hi-Spec Demo (Europe)
759,Mortal Kombat Trilogy (USA)
763,D no Shokutaku - Complete Graphics (Japan) (Disc 1)
764,D no Shokutaku - Complete Graphics (Japan) (Disc 2)
765,D no Shokutaku - Complete Graphics (Japan) (Disc 3)
766,Gex (USA)
768,Apocalypse (USA)
769,Ninja - Shadow of Darkness (UK) (Demo)
771,NASCAR 2000 (Europe)
772,"PGA European Tour Golf (Europe) (En,De)"
773,"Pong (Europe) (En,Fr,De,Es,It,Nl)"
